Gene.id	genename	X21_011_Control_rep1	X21_011_Control_rep2	X21_011_si11_rep1	X21_011_si11_rep2	X21_011_Control_rep1.1	X21_011_Control_rep2.1	X21_011_si11_rep1.1	X21_011_si11_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000060982	BCAT1	13080.7726983338	13192.6008915968	4800.35765439169	4765.36579633057	14.2218698537652	14.2305447792896	13.3366648357099	13.3312203142417	8959.77426016322	-1.45757827590059	0.0350825331252328	-41.5471217741753	0	0	chr12	-	24810023	24949101	139078	protein_coding
ENSG00000065534	MYLK	39524.7024638372	39429.9745873227	15053.9437980817	14923.7987610803	15.4856998971931	15.4827028224446	14.3673828879803	14.358247262276	27233.1049025805	-1.39709525028101	0.0262735720804144	-53.1749259676217	0	0	chr3	-	123610048	123884332	274284	protein_coding
ENSG00000071967	CYBRD1	6028.24838991612	6596.30044579842	22385.3318705181	22042.0515043694	13.513522374715	13.587405371938	14.8037911906877	14.786131650285	14262.9830526505	1.81553541508845	0.0384881070020694	47.1713356801578	0	0	chr2	+	171522473	171558129	35656	protein_coding
ENSG00000072110	ACTN1	37920.4758523501	37661.3171122607	16481.7519696057	16624.1543766113	15.4340750117646	15.4255570885134	14.4638193107095	14.4730779148792	27171.9248277069	-1.1909962200503	0.0262534398117452	-45.3653398789092	0	0	chr14	-	68874142	68979440	105298	protein_coding
ENSG00000074695	LMAN1	6739.77602895423	6948.97602590034	983.929983485409	987.239183316504	13.6053926888057	13.6311660654833	12.4659444437389	12.4672215938841	3914.98030541412	-2.7958398845401	0.0529343909750132	-52.8170785200841	0	0	chr18	-	59327822	59359265	31443	protein_coding
ENSG00000079332	SAR1A	6593.01712758791	6583.62946687261	1335.33354901591	1336.84501080887	13.5869907047881	13.5858043288628	12.5905952909783	12.5910902192517	3962.20628857132	-2.30191314746575	0.0493787723833626	-46.6174640712886	0	0	chr10	-	70147288	70170523	23235	protein_coding
ENSG00000094916	CBX5	11435.0487423224	11342.6379684275	2089.00172245633	2092.66897308639	14.0873283121011	14.0793601916792	12.8072848313422	12.8082207674133	6739.83935157316	-2.44550887978773	0.0409503348147778	-59.7188982910394	0	0	chr12	-	54230941	54280122	49181	protein_coding
ENSG00000099194	SCD	45437.5679933687	45546.889663761	13121.224187664	13262.177882118	15.6613305875031	15.6643830462573	14.2250142181794	14.2359143331739	29341.9649317279	-1.78604309296431	0.0262111218399565	-68.1406581477045	0	0	chr10	+	100347232	100364826	17594	protein_coding
ENSG00000103888	CEMIP	11592.9410775855	11528.4789926728	1329.78507166543	1306.05586122857	14.1008341302949	14.0953365508714	12.5887758148033	12.5809473261633	6439.31525078808	-3.13264336459481	0.044736350754583	-70.0245619447155	0	0	chr15	+	80779342	80951776	172434	protein_coding
ENSG00000106366	SERPINE1	98870.9657853166	97232.8686170805	31071.4731626971	31260.9188077334	16.6850221855703	16.6623936735378	15.1898514339323	15.1972021367294	64609.0565932069	-1.6535914661533	0.0236347720221991	-69.9643501786333	0	0	chr7	+	101127103	101139247	12144	protein_coding
ENSG00000107796	ACTA2	5426.03082913706	5798.02877347193	1361.22644331816	1330.88582056752	13.4300203678879	13.4822720995729	12.5990320684487	12.5891371052819	3479.04296662367	-2.05937919156039	0.0544915779070002	-37.7926143940095	0	0	chr10	-	88941784	88991288	49504	protein_coding
ENSG00000110917	MLEC	10699.2299747823	10407.097357738	3605.58553158798	3602.33050089433	14.0225281196257	13.9959033027516	13.1344513340107	13.1338477594582	7078.56084125065	-1.55007872977552	0.0387527211197688	-39.9992228928869	0	0	chr12	+	120687148	120701859	14711	protein_coding
ENSG00000111799	COL12A1	20152.5274834822	19755.1120602598	46972.4845029524	48609.1147986684	14.6847344244229	14.6624399073323	15.7036035141286	15.7473437908671	33872.3097113407	1.25997821040747	0.0279123682855144	45.140498202059	0	0	chr6	-	75084325	75206053	121728	protein_coding
ENSG00000113657	DPYSL3	22748.6418421348	22851.0545778011	9468.4765985969	9154.30940908272	14.8222424421128	14.8274001641745	13.9065506260258	13.8752378503606	16055.6206069039	-1.29176406789352	0.0308538453166703	-41.8671985496597	0	0	chr5	-	147390807	147510068	119261	protein_coding
ENSG00000115884	SDC1	3559.66245589909	3368.36856444645	498.438215318266	506.531170514504	13.125905102223	13.0895686454266	12.2448073514979	12.2492582028341	1983.25010154458	-2.78568625415952	0.0717273631280841	-38.8371485117207	0	0	chr2	-	20200798	20225433	24635	protein_coding
ENSG00000117525	F3	10187.0920155315	10117.7766722652	2953.63944290639	3060.04418893174	13.9754942971273	13.9689986349935	13.0062976025807	13.028293984212	6579.6380799087	-1.75585080770556	0.0400890084913161	-43.7988085458862	0	0	chr1	-	94529172	94541759	12587	protein_coding
ENSG00000119280	C1orf198	7153.7373438427	7103.13960283112	18301.6525405637	18059.3260264024	13.655892128678	13.6498270350635	14.5777277246603	14.5630891466794	12654.46387841	1.35074459055322	0.0318549699486129	42.4029466275492	0	0	chr1	-	230837118	230869589	32471	protein_coding
ENSG00000125148	MT2A	16155.6247145469	14964.4261113903	4720.82947903479	4483.29745824014	14.4423788192723	14.3611056572033	13.324254027112	13.2863817388799	10081.044440803	-1.75729354020762	0.0424103366152773	-41.4355008815138	0	0	chr16	+	56608583	56609497	914	protein_coding
ENSG00000133816	MICAL2	20648.4713570649	20603.011733379	8578.87073006968	8376.63508258692	14.712066744815	14.7095834962437	13.8158656396528	13.7943392697459	14551.7472257751	-1.2825541246391	0.0308640596091082	-41.5549393334055	0	0	chr11	+	12110590	12263785	153195	protein_coding
